Date : 2024-06-09 17:47:47
Directory : /Users/hieu/Work/crea8r/phanuel
Total : 105 files,  27383 codes, 482 comments, 776 blanks, all 28641 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          7 |     18,847 |          0 |          6 |     18,853 |
| TypeScript JSX     |         31 |      2,795 |         27 |        113 |      2,935 |
| TOML               |          5 |      1,808 |          2 |        210 |      2,020 |
| TypeScript         |         10 |      1,774 |        199 |         62 |      2,035 |
| CSS                |          3 |        864 |        169 |        215 |      1,248 |
| Rust               |         14 |        640 |         44 |         69 |        753 |
| JavaScript         |         20 |        440 |         41 |         61 |        542 |
| JavaScript JSX     |          3 |         65 |          0 |          6 |         71 |
| Markdown           |          3 |         57 |          0 |         25 |         82 |
| HTML               |          3 |         35 |          0 |          3 |         38 |
| JSON with Comments |          2 |         31 |          0 |          2 |         33 |
| YAML               |          1 |         18 |          0 |          3 |         21 |
| Ignore             |          1 |          7 |          0 |          1 |          8 |
| XML                |          2 |          2 |          0 |          0 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |        105 |     27,383 |        482 |        776 |     28,641 |
| . (Files)                                                                                          |          8 |      3,923 |          2 |        224 |      4,149 |
| .github                                                                                            |          1 |         18 |          0 |          3 |         21 |
| .github/workflows                                                                                  |          1 |         18 |          0 |          3 |         21 |
| app                                                                                                |         77 |     22,230 |        266 |        440 |     22,936 |
| app/tbot                                                                                           |         21 |        473 |         40 |         65 |        578 |
| app/tbot (Files)                                                                                   |          4 |        102 |          8 |         18 |        128 |
| app/tbot/commands                                                                                  |          6 |        181 |         26 |         17 |        224 |
| app/tbot/handlers                                                                                  |          2 |         36 |          1 |          6 |         43 |
| app/tbot/services                                                                                  |          3 |         43 |          0 |          4 |         47 |
| app/tbot/state                                                                                     |          2 |         23 |          0 |          8 |         31 |
| app/tbot/utils                                                                                     |          2 |         66 |          5 |         10 |         81 |
| app/tbot/views                                                                                     |          2 |         22 |          0 |          2 |         24 |
| app/web                                                                                            |         56 |     21,757 |        226 |        375 |     22,358 |
| app/web (Files)                                                                                    |          9 |     15,816 |          2 |         13 |     15,831 |
| app/web/public                                                                                     |          2 |          2 |          0 |          0 |          2 |
| app/web/src                                                                                        |         45 |      5,939 |        224 |        362 |      6,525 |
| app/web/src (Files)                                                                                |          7 |      2,902 |        178 |        220 |      3,300 |
| app/web/src/components                                                                             |          3 |        256 |          1 |         16 |        273 |
| app/web/src/context                                                                                |          1 |          3 |          0 |          3 |          6 |
| app/web/src/funcs                                                                                  |          4 |        212 |         21 |         23 |        256 |
| app/web/src/icons                                                                                  |          3 |         65 |          0 |          6 |         71 |
| app/web/src/layout                                                                                 |          1 |        106 |          9 |          5 |        120 |
| app/web/src/pages                                                                                  |         10 |      1,423 |         12 |         37 |      1,472 |
| app/web/src/pages (Files)                                                                          |          3 |        524 |          3 |         11 |        538 |
| app/web/src/pages/fragments                                                                        |          7 |        899 |          9 |         26 |        934 |
| app/web/src/services                                                                               |         16 |        972 |          3 |         52 |      1,027 |
| migrations                                                                                         |          1 |          4 |          5 |          4 |         13 |
| programs                                                                                           |         16 |        659 |         44 |         74 |        777 |
| programs/phanuel                                                                                   |         16 |        659 |         44 |         74 |        777 |
| programs/phanuel (Files)                                                                           |          2 |         19 |          0 |          5 |         24 |
| programs/phanuel/src                                                                               |         14 |        640 |         44 |         69 |        753 |
| programs/phanuel/src (Files)                                                                       |          6 |        222 |         15 |         30 |        267 |
| programs/phanuel/src/instructions                                                                  |          8 |        418 |         29 |         39 |        486 |
| programs/phanuel/src/instructions (Files)                                                          |          3 |        126 |          9 |         12 |        147 |
| programs/phanuel/src/instructions/community_admin                                                  |          5 |        292 |         20 |         27 |        339 |
| tests                                                                                              |          2 |        549 |        165 |         31 |        745 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                           | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/hieu/Work/crea8r/phanuel/.github/workflows/notifier.yml                                     | YAML               |         18 |          0 |          3 |         21 |
| /Users/hieu/Work/crea8r/phanuel/.prettierignore                                                    | Ignore             |          7 |          0 |          1 |          8 |
| /Users/hieu/Work/crea8r/phanuel/Anchor.toml                                                        | TOML               |         13 |          0 |          6 |         19 |
| /Users/hieu/Work/crea8r/phanuel/Cargo.lock                                                         | TOML               |      1,763 |          2 |        197 |      1,962 |
| /Users/hieu/Work/crea8r/phanuel/Cargo.toml                                                         | TOML               |         13 |          0 |          2 |         15 |
| /Users/hieu/Work/crea8r/phanuel/README.md                                                          | Markdown           |         39 |          0 |         15 |         54 |
| /Users/hieu/Work/crea8r/phanuel/app/tbot/README.md                                                 | Markdown           |         13 |          0 |          6 |         19 |
| /Users/hieu/Work/crea8r/phanuel/app/tbot/commands/connect.js                                       | JavaScript         |         39 |          0 |          3 |         42 |
| /Users/hieu/Work/crea8r/phanuel/app/tbot/commands/disconnect.js                                    | JavaScript         |         15 |          0 |          2 |         17 |
| /Users/hieu/Work/crea8r/phanuel/app/tbot/commands/help.js                                          | JavaScript         |          6 |          0 |          1 |          7 |
| /Users/hieu/Work/crea8r/phanuel/app/tbot/commands/register.js                                      | JavaScript         |         47 |         26 |          4 |         77 |
| /Users/hieu/Work/crea8r/phanuel/app/tbot/commands/start.js                                         | JavaScript         |         27 |          0 |          3 |         30 |
| /Users/hieu/Work/crea8r/phanuel/app/tbot/commands/tip.js                                           | JavaScript         |         47 |          0 |          4 |         51 |
| /Users/hieu/Work/crea8r/phanuel/app/tbot/constants.js                                              | JavaScript         |         16 |          0 |          3 |         19 |
| /Users/hieu/Work/crea8r/phanuel/app/tbot/handlers/connect.js                                       | JavaScript         |         32 |          1 |          4 |         37 |
| /Users/hieu/Work/crea8r/phanuel/app/tbot/handlers/meta.js                                          | JavaScript         |          4 |          0 |          2 |          6 |
| /Users/hieu/Work/crea8r/phanuel/app/tbot/index.js                                                  | JavaScript         |         44 |          8 |          8 |         60 |
| /Users/hieu/Work/crea8r/phanuel/app/tbot/package.json                                              | JSON               |         29 |          0 |          1 |         30 |
| /Users/hieu/Work/crea8r/phanuel/app/tbot/services/_scheme.js                                       | JavaScript         |         18 |          0 |          1 |         19 |
| /Users/hieu/Work/crea8r/phanuel/app/tbot/services/createTransferTxn.js                             | JavaScript         |         23 |          0 |          1 |         24 |
| /Users/hieu/Work/crea8r/phanuel/app/tbot/services/viewBalance.js                                   | JavaScript         |          2 |          0 |          2 |          4 |
| /Users/hieu/Work/crea8r/phanuel/app/tbot/state/connection.js                                       | JavaScript         |          8 |          0 |          3 |         11 |
| /Users/hieu/Work/crea8r/phanuel/app/tbot/state/sessions.js                                         | JavaScript         |         15 |          0 |          5 |         20 |
| /Users/hieu/Work/crea8r/phanuel/app/tbot/utils/index.js                                            | JavaScript         |         30 |          0 |          8 |         38 |
| /Users/hieu/Work/crea8r/phanuel/app/tbot/utils/sendTxn.js                                          | JavaScript         |         36 |          5 |          2 |         43 |
| /Users/hieu/Work/crea8r/phanuel/app/tbot/views/connect.ejs                                         | HTML               |         15 |          0 |          1 |         16 |
| /Users/hieu/Work/crea8r/phanuel/app/tbot/views/meta.ejs                                            | HTML               |          7 |          0 |          1 |          8 |
